patron,categoria,nivel_alerta,sugerencia
la chica que me atendio no sonreia mucho,Queja leve,Bajo,Supervision de equipo
el folleto tenia letra muy pequeña,Queja leve,Bajo,Reforzar limpieza
se demoraron un poco en traerme la cuenta,Queja leve,Bajo,Ajustar volumen
el aroma del local es un poco fuerte para mi,Queja leve,Bajo,Añadir variedad
la bolsa de plastico es un poco debil,Queja leve,Bajo,Cuidar estetica
el boton de ayuda es dificil de encontrar en la app,Queja leve,Bajo,Revisar embalaje
me gustaria que tuvieran mas metodos de pago,Queja leve,Bajo,Abrir mas cajas
el ticket de compra salio con la tinta borrosa,Queja leve,Bajo,Mejorar inventario
el sitio web no tiene modo oscuro,Queja leve,Bajo,UX review
me enviaron demasiados correos de publicidad hoy,Queja leve,Bajo,Rediseño visual
la entrega se retraso apenas media hora,Queja leve,Bajo,Simplificar pasos
el personal de seguridad fue un poco seco,Queja leve,Bajo,Automatizar avisos
la fruta no estaba tan madura como queria,Queja leve,Bajo,Ajustar frecuencia
el agua de cortesia estaba a temperatura ambiente,Queja leve,Bajo,Personalizar alertas
el proceso de devolucion requiere muchos pasos,Queja leve,Bajo,Optimizar codigo
la llamada se escuchaba con un poco de eco,Queja leve,Bajo,Guias de usuario
